source_href,name_hotel,region,description,price_label,rating,rating_type,review_count,location,formatted_address,formatted_region
https://www.booking.com/hotel/id/maxone-rejuvination-gianyar.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,MaxOne Rejuvination @Gianyar,Balian,"MaxOne Rejuvination @Gianyar has an outdoor swimming pool, garden, a terrace and restaurant in Balian. This 3-star hotel offers a bar.",Expensive,8.7,Exceptional,113,"{'lat': -8.544857499999999, 'lng': 115.3032057}","Jl. Udayana, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581, Indonesia","Blahbatuh, Gianyar"
https://www.booking.com/hotel/id/swan-paradise-bali.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Swan Paradise A Pramana Experience - CHSE Certified,Gianyar,"Swan Paradise A Pramana Experience - CHSE Certified has an outdoor swimming pool, fitness center, a garden and terrace in Gianyar.",Expensive,8.8,Exceptional,263,"{'lat': -8.5938986, 'lng': 115.2950629}","Jalan Raya Bonbiyu, Banda, Blahbatuh, Kec. Gianyar, Kabupaten Gianyar, Bali 80581, Indonesia","Gianyar, Gianyar"
https://www.booking.com/hotel/id/north-wing-canggu-resort-kabupaten-badung.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,North Wing Canggu Resort,Dalung,"Located in Dalung, 5.7 miles from Ubung Bus Station, North Wing Canggu Resort has accommodations with an outdoor swimming pool, free private parking, a garden and a shared lounge.",Moderate,7.3,Good,101,"{'lat': -8.6164686, 'lng': 115.1589526}","Jl. Raya Tuka No.79, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
https://www.booking.com/hotel/id/louka-beach-bali.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Louka Beach Bali,Tianyar,"Located in Tianyar, 30 miles from Tegallalang Rice Terrace, Louka Beach Bali has accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.",Expensive,9.7,Exceptional,36,"{'lat': -8.1728957, 'lng': 115.4627337}","Jl. Tejakula - Tianyar, Tianyar, Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia","Kubu, Karangasem"
https://www.booking.com/hotel/id/the-royal-purnama-art-suites-and-villas.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,The Royal Purnama - Adults Only,Sukawati,"Offering an outdoor pool and a restaurant, The Royal Purnama - Adults Only - art suites and villas is located right across Purnama Beach.",Expensive,9.1,Wonderful,177,"{'lat': -8.6186493, 'lng': 115.308607}","Jl. Pantai Purnama, Sukawati, Kec. Gianyar, Kabupaten Gianyar, Bali, Indonesia","Gianyar, Gianyar"
https://www.booking.com/hotel/id/moritz-palm-villa.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&map_fdco=1&from=searchresults#hotelTmpl,Moritz Palm Villa,Ungasan,"Located 4.6 miles from Garuda Wisnu Kencana, Moritz Palm Villa has accommodations with free WiFi and free private parking. The accommodations have a hot tub.",Moderate,8.7,Exceptional,29,"{'lat': -8.8434811, 'lng': 115.1727715}","Jl. karang pandawa, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
https://www.booking.com/hotel/id/rejeng-garden-camp-bangli.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Rejeng Garden Camp,Bangli,"Located 17 miles from Tegallalang Rice Terrace, Rejeng Garden Camp provides accommodations with a garden, a terrace and a 24-hour front desk for your convenience.",Expensive,8.3,Good,60,"{'lat': -8.261853799999999, 'lng': 115.3909874}","Jl. Pendakian Gn. Batur, Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali 80353, Indonesia","Kintamani, Bangli"
https://www.booking.com/hotel/id/nau-villa-ubud.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Nau Villa Ubud,Tegalalang,"Nau Villa Ubud has well-equipped accommodations boasting free WiFi in Tegalalang, 3.1 mi from Tegallalang Rice Terrace and Ceking Ricefield Terrace. The accommodations has a hot tub.",Moderate,9.3,Wonderful,215,"{'lat': -8.4091953, 'lng': 115.2954064}","Sebatu, Tegallalang, Gianyar Regency, Bali 80561, Indonesia","Tegallalang, Gianyar"
https://www.booking.com/hotel/id/pinokkio-b-amp-b-ristorante.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,PINOKKIO B&B Restaurant,Ungasan,"Located a 15-minute walk from Garuda Wisnu Kencana, PINOKKIO B&B Restaurant offers a garden, a terrace and air-conditioned accommodations with a balcony and free WiFi.",Cheap,9.8,Exceptional,82,"{'lat': (None) , 'lng': (None)}","Santhi Karia, Jl. Merak I No.17, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","Kuta Selatan, Badung"
https://www.booking.com/hotel/id/kelingking-tatakan-bungalow.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Kelingking Tatakan Bungalow,batumadeg,"Featuring an outdoor swimming pool, a garden, and a terrace, Kelingking Tatakan Bungalow provides accommodations in batumadeg with free WiFi and garden views.",Expensive,8.3,Good,103,"{'lat': -8.7472542, 'lng': 115.4762319}","Jl. Pura Klibun, Karang Dawa, Bunga Mekar, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
https://www.booking.com/hotel/id/aksari-ubud.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175592&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Aksari Resort Ubud by Ini Vie Hospitality,Tegalalang,"Located in Tegalalang, 2.8 miles from Tegallalang Rice Terrace, Aksari Resort Ubud by Ini Vie Hospitality provides accommodations with an outdoor swimming pool, free private parking, a fitness center...",Moderate,8.9,Exceptional,338,"{'lat': -8.4289113, 'lng': 115.2974629}","Jl. Raya Desa Kenderan No.88x, Kenderan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80561, Indonesia","Ubud, Gianyar"
