place_name,region,source,review_count,rating,cuisine,eating_type,price,range,comment,second_comment,location.1,rating_google,location,formatted_region
Wok Wok,Denpasar,https://www.tripadvisor.com/Restaurant_Review-g297694-d23238047-Reviews-Wok_Wok-Denpasar_Bali.html#REVIEWS,345,Low,"Chinese, Indonesian",Cheap Eats,Cheap,21.0 mi,Breakfast at the Andaz Bali,Great food and service,"{'lat': 33.0313481, 'lng': -96.6658077}",3.7,"Jl. Danau Tamblingan No.89a, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228","Denpasar Selatan, Denpasar"
Waroeng Bernadette,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d17848374-Reviews-Waroeng_Bernadette-Seminyak_Kuta_District_Bali.html#REVIEWS,1900,High,Indonesian,Cheap Eats,Cheap,19.5 mi,Wonderful dinner,Nice in every way,"{'lat': -8.686098099999999, 'lng': 115.1563538}",4.7,"Jl. Kayu Aya No.17, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Tablespoon Bistro,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d23338837-Reviews-Tablespoon_Bistro-Ubud_Gianyar_Regency_Bali.html#REVIEWS,929,Average,"Indonesia, Cafe",Cheap Eats,Cheap,7.8 mi,Great experience!,Lovely people and nice food,"{'lat': 29.7429661, 'lng': -95.40230989999999}",4.5,"Jl. Suweta No.99, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Ubud, Gianyar"
Blou Cafe Canggu,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d23973341-Reviews-Blou_Cafe_Canggu-Canggu_North_Kuta_Bali.html#REVIEWS,173,Low,"American, Asian",Cheap Eats,Cheap,17.1 mi,dinner,Great breakfast options,"{'lat': -8.64819, 'lng': 115.1312074}",4.7,"Jl. Canggu Padang Linjong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Pistachio Restaurant,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d17757868-Reviews-Pistachio_Restaurant-Ubud_Gianyar_Regency_Bali.html#REVIEWS,978,Average,"International, Indonesian",Cheap Eats,Cheap,8.8 mi,Great restaurant & cocktails!,Romantic Birthday Dinner 💗,"{'lat': 33.0326835, 'lng': -96.64902149999999}",5,"Jl. Suweta No.99, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","Ubud, Gianyar"
Herb Library,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d11778327-Reviews-Herb_Library-Ubud_Gianyar_Regency_Bali.html#REVIEWS,1603,High,"Indonesian, Healthy",Cheap Eats,Cheap,9.0 mi,Perfect donde and healthy!,Best waiter in Bali so far,"{'lat': -8.509978799999999, 'lng': 115.2668399}",4.5,"Jl. Jembawan, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
The Chill Penida,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g2538506-d19796997-Reviews-The_Chill_Penida-Nusa_Penida_Bali.html#REVIEWS,217,Average,"Healthy, Bar",Cheap Eats,Cheap,32.7 mi,Fantastic!,Thank you kadek ris for your lovely...,"{'lat': -8.682506, 'lng': 115.576129}",4.7,"Jl. Batumulapan, Batununggul, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Atlas Kitchen and Coffee,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d13197882-Reviews-Atlas_Kitchen_and_Coffee-Seminyak_Kuta_District_Bali.html#REVIEWS,790,Average,"Chinese, Asian",Cheap Eats,Cheap,18.9 mi,Good ambience,Atlas did not disappoint! Yum!,"{'lat': -8.676734, 'lng': 115.1564033}",4.6,"Gg. Kecapi No.7, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Bee Cafe Ubud,Peliatan,https://www.tripadvisor.com/Restaurant_Review-g3932211-d17753683-Reviews-Bee_Cafe_Ubud-Peliatan_Ubud_Gianyar_Regency_Bali.html#REVIEWS,220,Average,"International, Asian",Cheap Eats,Cheap,9.5 mi,Everything is delicious,Nice restaurant !!!,"{'lat': -8.5169923, 'lng': 115.2741602}",4.4,"Jl. Sawah Indah, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
The Sage Bali,Pemuteran,https://www.tripadvisor.com/Restaurant_Review-g608493-d24038293-Reviews-The_Sage_Bali-Pemuteran_Gerokgak_Buleleng_Regency_Bali.html#REVIEWS,86,Low,"Cafe, Contemporary",Cheap Eats,Cheap,40.7 mi,"Yep, have to agree.",Amazing . Must go there.,"{'lat': -8.1462433, 'lng': 114.6564094}",4.9,"Jl. Singaraja-Gilimanuk, Pemuteran, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155, Indonesia","Gerokgak, Buleleng"
